Time,Position,Velocity
0.0,1.0,0.0
0.1,0.9901809266800226,-0.19443271762674857
0.2,0.961556223519993,-0.37559610721862713
0.30000000000000004,0.9156005579065681,-0.5406090256719857
0.4,0.8540541738684316,-0.687045414351001
0.5,0.7788761064070453,-0.8129592858030874
0.6000000000000001,0.6921953364551146,-0.916899317948653
0.7000000000000001,0.5962610181839473,-0.997912836494591
0.8,0.4933928463449524,-1.0555401829681093
0.9,0.3859324231317985,-1.0897995853636488
1.0,0.27619658902995226,-1.1011634872366953
1.1,0.16643350350437794,-1.0905271971717632
1.2000000000000002,0.058782209816203745,-1.0591708235022672
1.3,-0.044763697332076906,-1.0087155841101565
1.4000000000000001,-0.142387806752344,-0.9410755942645773
1.5,-0.2324776263774404,-0.8584063023136472
1.6,-0.3136460416643915,-0.7630507420481616
1.7000000000000002,-0.3847473398482389,-0.6574847497536708
1.8,-0.4448877496457155,-0.5442622695144225
1.9000000000000001,-0.4934305609591552,-0.4259618036429875
2.0,-0.5299959875404752,-0.3051349932232479
2.1,-0.554456031584554,-0.184258234842652
2.2,-0.5669247024485761,-0.06568814055300812
2.3000000000000003,-0.5677439911255783,0.04837854404052411
2.4000000000000004,-0.5574660884547068,0.15593992068366816
2.5,-0.5368323802892074,0.25521842233363734
2.6,-0.5067497819933737,0.34468448640189575
2.7,-0.4682650022842274,0.42307425426874395
2.8000000000000003,-0.422537339828385,0.4894012272399225
2.9000000000000004,-0.3708106131917553,0.5429619438804286
3.0,-0.3143848172437032,0.5833358878552493
3.1,-0.25458806214564195,0.6103798721493782
3.2,-0.19274933778545622,0.6242173058380562
3.3000000000000003,-0.13017258698812859,0.625222785616386
3.4000000000000004,-0.06811253217405264,0.6140025504534051
3.5,-0.007752639427260684,0.5913713781014489
3.6,0.04981445560818634,0.5583265447987491
3.7,0.10360379678154744,0.5160195035177778
3.8000000000000003,0.15275204029398115,0.4657259384550791
3.9000000000000004,0.19652833676496836,0.4088148615396568
4.0,0.23434210343294062,0.3467173979155563
4.1000000000000005,0.2657476852049186,0.28089588461430826
4.2,0.29044596586525784,0.21281386837032024
4.3,0.3082830469814212,0.14390754283345375
4.4,0.31924616244421167,0.07555911217400027
4.5,0.3234570448063236,0.009072503916451162
4.6000000000000005,0.32116299439728546,-0.05434820822826996
4.7,0.3127259388929286,-0.1136173845354217
4.800000000000001,0.29860979406657645,-0.1677831867588977
4.9,0.27936645464023274,-0.21603959020820032
5.0,0.255620755094011,-0.2577349704162213
5.1000000000000005,0.22805474313918042,-0.2923772634587514
5.2,0.1973916062047363,-0.31963576801380267
5.300000000000001,0.1643795801687626,-0.3393397163000554
5.4,0.12977615533500067,-0.35147379945792834
5.5,0.0943328722591266,-0.3561708841585953
5.6000000000000005,0.05878097404781672,-0.35370219965984223
5.7,0.023818158824024233,-0.3444653000483512
5.800000000000001,-0.009903376174830447,-0.32897017189971917
5.9,-0.04178741739961729,-0.3078238115110363
6.0,-0.0713026154574576,-0.28171367349865206
6.1000000000000005,-0.09798966987961293,-0.2513903588339349
6.2,-0.1214667591638152,-0.21764991475413528
6.300000000000001,-0.14143320214854516,-0.18131611774024012
6.4,-0.15767135424580914,-0.14322307430753442
6.5,-0.1700467961888772,-0.10419847358919154
6.6000000000000005,-0.17850689005898446,-0.0650477851470035
6.7,-0.18307782823553928,-0.026539643269855872
6.800000000000001,-0.18386026163912414,0.010607312990223309
6.9,-0.18102372120506344,0.045736005960880594
7.0,-0.17479994914260286,0.07826070968930306
7.1000000000000005,-0.16547535573113775,0.10767497982848191
7.2,-0.1533827730032127,0.13355764925539396
7.300000000000001,-0.13889270930879222,0.1555768719364016
7.4,-0.12240429605856341,0.17349222981533688
7.5,-0.10433611775650169,0.187154955781115
7.6000000000000005,-0.0851171117865167,0.19650636149472
7.7,-0.06517770885508209,0.20157458690455007
7.800000000000001,-0.04494137694485411,0.20246981920195373
7.9,-0.024816716627971573,0.1993781384965232
8.0,-0.00519022386079835,0.19255420338909182
8.1,0.013580156334717212,0.18231293908843055
8.200000000000001,0.03117061027771488,0.16902046746769378
8.3,0.047296096953233016,0.15308448005603484
8.4,0.06171400797398498,0.1349442668986812
8.5,0.07422682294876647,0.11506062215078565
8.6,0.0846837585239161,0.09390582492385997
8.700000000000001,0.09298142438118809,0.07195387356367125
8.8,0.0990635261502318,0.04967117621273244
8.9,0.10291966482137081,0.027507837042053222
9.0,0.1045833008303105,0.005889680606645539
9.1,0.10412896319242444,-0.014788851372401102
9.200000000000001,0.10166879531445745,-0.03417085573405234
9.3,0.09734853637234084,-0.05194208646256495
9.4,0.09134304420656089,-0.06783499347968254
9.5,0.0838514699023191,-0.08163165802743676
9.600000000000001,0.07509219436209874,-0.09316561399200277
9.700000000000001,0.06529763757326319,-0.10232258306414321
9.8,0.05470904700974245,-0.10904015336538542
9.9,0.04357136878911303,-0.11330646616410261
